,weather_main,weather,wind
358,dry,"Hot, dry, partly sunny 25°C/79°F, 40% Humidity, wind NW-10mph",False
359,dry,"Hot, sunny; temperature up to maximum of 38.3 °C (100.9 °F)",False
360,wet,Cool and rainy with temperatures approaching 24 °C (75 °F); wind speeds up to 17.9 kilometres per hour (11.1 mph),False
361,dry,"Hot, dry, sunny",False
362,dry,"Warm, dry, sunny",False
363,dry,"Warm, cloudy",False
364,dry,Cloudy,False
365,changing,"Wet, cloudy, cool",False
366,dry,"Hot, dry, sunny",False
367,dry,"Hot, dry, sunny",False
368,dry,"Dry, hot, sunny",False
369,dry,"Dry, warm, cloudy",False
370,wet,"Wet, cool",False
371,dry,Cloudy and hot,False
372,dry,"Sunny, warm",False
373,dry,Warm and dry,False
374,dry,Sunny and hot,False
375,dry,Sunny and hot with temperatures up to 29 °C (84 °F); wind speeds up to 19 kilometres per hour (12 mph),False
376,dry,Warm and sunny with temperatures up to 91.9 °F (33.3 °C); wind speeds up to 11.1 miles per hour (17.9 km/h),False
377,dry,Sunny and hot,False
378,wet,Wet and cool,False
379,wet,Wet and cool,False
380,dry,Sunny and hot,False
381,dry,"Warm, dry and overcast",False
382,dry,Sunny and hot,False
383,dry,Sunny and hot,False
384,dry,Sunny and hot,False
385,changing,"Cool and mainly dry, some rain toward the end",False
386,dry,Cloudy and hot,False
387,dry,Sunny,False
388,dry,"Sunny, warm",False
389,dry,Cloudy and cool,False
390,dry,Sunny and warm,False
391,changing,Clear with rain showers later on; temperatures reaching up to 78.1 °F (25.6 °C); wind speeds up to 19.6 miles per hour (31.5 km/h),False
392,dry,Sunny and hot,False
393,dry,Sunny and warm,False
394,nan,,False
395,dry,Dry,False
396,dry,Dry,False
397,dry,Dry,False
398,dry,Dry,False
399,dry,Sunny and hot,False
400,dry,Sunny and hot,False
401,dry,Dry,False
402,dry,Sunny,False
403,dry,"Hot, dry and sunny",False
404,dry,"Warm, dry and sunny",False
405,dry,"Overcast, warm",False
406,dry,"Sunny, mild, dry",False
407,dry,Dry,False
